llave_plan_estudios,llave_facultad,llave_estudiante,estatus_estudiante,creditos,fecha_titulacion
24,10,784,Créditos completos,290,2017-08-03
28,10,785,Cursando,233,
16,6,786,Titulado,275,2023-08-03
14,5,787,Cursando,97,
11,3,788,Cursando,68,
23,9,789,Titulado,290,2020-08-03
32,14,790,Cursando,156,
27,10,791,Cursando,254,
12,4,792,Titulado,330,2020-08-03
11,3,793,Titulado,330,2020-08-03
2,1,794,Cursando,225,
35,13,795,Cursando,182,
14,5,796,Cursando,81,
25,10,797,Titulado,290,2025-09-21
6,3,798,Cursando,36,
3,1,799,Cursando,198,
17,6,800,Titulado,275,2023-08-03
34,12,801,Titulado,200,2018-08-03
15,5,802,Titulado,275,2020-08-03
28,10,803,Créditos completos,319,2020-08-03
3,1,804,Cursando,178,
11,3,805,Cursando,5,
7,3,806,Créditos completos,330,2024-08-03
15,5,807,Cursando,117,
12,4,808,Titulado,330,2022-08-03
10,3,809,Cursando,165,
34,12,810,Cursando,59,
5,2,811,Titulado,250,2020-08-05
32,14,812,Titulado,319,2024-08-03
7,3,813,Titulado,330,2015-08-04
27,10,814,Cursando,240,
13,4,815,Créditos completos,275,2019-08-05
7,3,816,Cursando,212,
25,10,817,Créditos completos,290,2018-08-03
5,2,818,Titulado,250,2022-08-04
24,10,819,Titulado,290,2018-08-03
1,1,820,Cursando,154,
18,6,821,Créditos completos,275,2017-08-07
1,1,822,Cursando,220,
29,10,823,Créditos completos,319,2023-08-03
23,9,824,Cursando,117,
5,2,825,Titulado,250,2021-08-04
24,10,826,Titulado,290,2021-08-04
17,6,827,Créditos completos,275,2024-09-21
15,5,828,Titulado,275,2015-08-04
34,12,829,Créditos completos,200,2021-08-05
29,10,830,Créditos completos,319,2022-08-04
10,3,831,Titulado,330,2019-08-05
21,8,832,Cursando,24,
10,3,833,Cursando,232,
28,10,834,Titulado,319,2016-08-04
28,10,835,Titulado,319,2017-08-07
1,1,836,Cursando,145,
34,12,837,Cursando,115,
14,5,838,Titulado,275,2023-08-03
12,4,839,Titulado,330,2018-08-07
18,6,840,Créditos completos,275,2015-08-04
9,3,841,Créditos completos,330,2017-08-04
22,8,842,Cursando,235,
34,12,843,Créditos completos,200,2021-08-03
2,1,844,Créditos completos,250,2021-08-04
7,3,845,Titulado,330,2021-08-04
24,10,846,Créditos completos,290,2017-08-03
3,1,847,Titulado,250,2019-08-05
25,10,848,Titulado,290,2019-08-05
12,4,849,Baja,52,
24,10,850,Titulado,290,2014-08-06
24,10,851,Créditos completos,290,2021-08-05
14,5,852,Cursando,35,
3,1,853,Cursando,150,
1,1,854,Titulado,250,2019-08-05
24,10,855,Titulado,290,2014-08-06
20,7,856,Cursando,146,
35,13,857,Cursando,169,
16,6,858,Cursando,38,
16,6,859,Titulado,275,2017-08-03
10,3,860,Créditos completos,330,2017-08-04
4,2,861,Titulado,250,2017-08-03
4,2,862,Titulado,250,2015-08-04
26,10,863,Baja,69,
3,1,864,Cursando,5,
33,12,865,Cursando,36,
23,9,866,Créditos completos,290,2024-08-03
14,5,867,Titulado,275,2019-08-07
28,10,868,Titulado,319,2025-08-03
5,2,869,Créditos completos,250,2024-08-03
1,1,870,Cursando,123,
30,11,871,Baja,72,
23,9,872,Cursando,90,
31,11,873,Cursando,252,
35,13,874,Créditos completos,200,2015-08-04
2,1,875,Cursando,149,
23,9,876,Titulado,290,2023-08-04
15,5,877,Cursando,64,
14,5,878,Titulado,275,2020-08-03
16,6,879,Cursando,3,
1,1,880,Titulado,250,2020-08-03
4,2,881,Créditos completos,250,2024-09-21
29,10,882,Titulado,319,2019-08-08
18,6,883,Titulado,275,2014-08-06
11,3,884,Créditos completos,330,2017-08-07
24,10,885,Baja,289,
15,5,886,Titulado,275,2018-08-08
33,12,887,Cursando,313,
27,10,888,Titulado,290,2025-09-21
5,2,889,Cursando,108,
33,12,890,Créditos completos,319,2018-08-03
27,10,891,Titulado,290,2018-08-03
21,8,892,Créditos completos,290,2021-08-03
35,13,893,Créditos completos,200,2019-08-08
5,2,894,Créditos completos,250,2019-08-05
6,3,895,Cursando,245,
2,1,896,Cursando,225,
13,4,897,Titulado,275,2022-08-03
8,3,898,Créditos completos,330,2020-08-03
16,6,899,Cursando,104,
27,10,900,Titulado,290,2022-08-05
15,5,901,Cursando,39,
4,2,902,Titulado,250,2027-09-21
23,9,903,Créditos completos,290,2022-08-03
4,2,904,Cursando,179,
7,3,905,Cursando,27,
32,14,906,Titulado,319,2017-08-07
5,2,907,Titulado,250,2022-08-03
3,1,908,Cursando,187,
2,1,909,Cursando,44,
31,11,910,Cursando,139,
7,3,911,Cursando,250,
4,2,912,Cursando,119,
30,11,913,Créditos completos,319,2020-08-05
19,6,914,Cursando,61,
17,6,915,Créditos completos,275,2021-08-03
34,12,916,Créditos completos,200,2018-08-03
33,12,917,Baja,85,
11,3,918,Créditos completos,330,2019-08-05
31,11,919,Baja,19,
34,12,920,Cursando,165,
27,10,921,Cursando,167,
8,3,922,Cursando,278,
16,6,923,Créditos completos,275,2023-08-03
11,3,924,Titulado,330,2021-08-04
12,4,925,Créditos completos,330,2017-08-03
30,11,926,Créditos completos,319,2022-08-03
10,3,927,Cursando,146,
10,3,928,Titulado,330,2019-08-05
33,12,929,Cursando,3,
10,3,930,Créditos completos,330,2014-08-06
31,11,931,Cursando,217,
11,3,932,Cursando,316,
6,3,933,Baja,22,
15,5,934,Cursando,194,
10,3,935,Titulado,330,2022-08-04
23,9,936,Titulado,290,2023-08-03
2,1,937,Titulado,250,2017-08-03
21,8,938,Titulado,290,2023-08-03
25,10,939,Cursando,128,
9,3,940,Cursando,301,
35,13,941,Titulado,200,2018-08-08
4,2,942,Titulado,250,2017-08-06
20,7,943,Baja,231,
22,8,944,Titulado,290,2019-08-05
29,10,945,Titulado,319,2023-08-03
33,12,946,Créditos completos,319,2015-08-06
4,2,947,Créditos completos,250,2017-08-04
15,5,948,Cursando,61,
35,13,949,Cursando,152,
29,10,950,Cursando,232,
4,2,951,Créditos completos,250,2019-08-05
28,10,952,Titulado,319,2017-08-07
16,6,953,Titulado,275,2021-08-03
34,12,954,Titulado,200,2022-08-03
4,2,955,Créditos completos,250,2021-08-04
1,1,956,Titulado,250,2020-08-03
14,5,957,Cursando,220,
24,10,958,Créditos completos,290,2014-08-06
23,9,959,Titulado,290,2023-08-03
19,6,960,Titulado,275,2022-08-03
32,14,961,Créditos completos,319,2025-09-21
34,12,962,Titulado,200,2015-08-06
14,5,963,Créditos completos,275,2023-08-04
17,6,964,Créditos completos,275,2017-08-04
10,3,965,Créditos completos,330,2024-09-21
10,3,966,Titulado,330,2016-08-07
16,6,967,Titulado,275,2017-08-04
7,3,968,Cursando,140,
11,3,969,Cursando,326,
9,3,970,Titulado,330,2023-08-03
6,3,971,Cursando,136,
28,10,972,Cursando,219,
2,1,973,Créditos completos,250,2022-08-03
9,3,974,Cursando,183,
5,2,975,Cursando,153,
27,10,976,Titulado,290,2017-08-07
22,8,977,Cursando,264,
15,5,978,Cursando,121,
16,6,979,Titulado,275,2015-08-04
33,12,980,Créditos completos,319,2025-09-21
15,5,981,Baja,263,
31,11,982,Titulado,319,2024-08-03
35,13,983,Titulado,200,2015-08-06
22,8,984,Créditos completos,290,2021-08-04
12,4,985,Cursando,234,
33,12,986,Créditos completos,319,2020-08-05
5,2,987,Créditos completos,250,2018-08-08
33,12,988,Cursando,237,
1,1,989,Cursando,49,
19,6,990,Créditos completos,275,2020-08-03
18,6,991,Baja,21,
12,4,992,Baja,185,
35,13,993,Titulado,200,2023-08-03
31,11,994,Cursando,55,
35,13,995,Cursando,11,
18,6,996,Titulado,275,2018-08-08
32,14,997,Créditos completos,319,2017-08-04
17,6,998,Cursando,145,
21,8,999,Créditos completos,290,2019-08-07
23,9,1000,Titulado,290,2022-08-03
1,1,1001,Titulado,250,2015-08-04
18,6,1002,Cursando,26,
8,3,1003,Cursando,156,
13,4,1004,Cursando,83,
6,3,1005,Titulado,250,2020-08-05
3,1,1006,Titulado,250,2014-08-06
22,8,1007,Cursando,241,
32,14,1008,Titulado,319,2022-08-04
21,8,1009,Cursando,35,
31,11,1010,Cursando,71,
24,10,1011,Créditos completos,290,2021-08-03
13,4,1012,Créditos completos,275,2021-08-04
31,11,1013,Titulado,319,2020-08-07
27,10,1014,Cursando,164,
34,12,1015,Titulado,200,2023-08-05
29,10,1016,Titulado,319,2026-09-21
16,6,1017,Créditos completos,275,2025-09-21
23,9,1018,Cursando,190,
3,1,1019,Cursando,201,
15,5,1020,Cursando,84,
15,5,1021,Cursando,212,
6,3,1022,Créditos completos,250,2021-08-04
33,12,1023,Titulado,319,2024-08-03
10,3,1024,Créditos completos,330,2015-08-04
2,1,1025,Cursando,240,
6,3,1026,Titulado,250,2023-08-03
11,3,1027,Titulado,330,2016-08-06
31,11,1028,Titulado,319,2018-08-03
21,8,1029,Créditos completos,290,2025-08-03
6,3,1030,Baja,196,
24,10,1031,Titulado,290,2020-08-05
27,10,1032,Titulado,290,2023-08-03
10,3,1033,Cursando,201,
27,10,1034,Cursando,138,
26,10,1035,Cursando,99,
17,6,1036,Cursando,209,
4,2,1037,Créditos completos,250,2015-08-06
6,3,1038,Créditos completos,250,2020-08-03
15,5,1039,Cursando,115,
33,12,1040,Cursando,113,
10,3,1041,Cursando,197,
13,4,1042,Titulado,275,2018-08-07
17,6,1043,Créditos completos,275,2018-08-08
19,6,1044,Cursando,84,
6,3,1045,Titulado,250,2022-08-03
13,4,1046,Créditos completos,275,2020-08-05
35,13,1047,Créditos completos,200,2023-08-04
16,6,1048,Créditos completos,275,2024-09-21
5,2,1049,Titulado,250,2015-08-06
14,5,1050,Titulado,275,2024-09-21
3,1,1051,Cursando,76,
35,13,1052,Titulado,200,2026-09-21
15,5,1053,Créditos completos,275,2019-08-05
10,3,1054,Cursando,249,
11,3,1055,Titulado,330,2014-08-06
7,3,1056,Titulado,330,2020-08-03
14,5,1057,Titulado,275,2021-08-04
32,14,1058,Titulado,319,2016-08-04
19,6,1059,Cursando,201,
27,10,1060,Titulado,290,2020-08-05
14,5,1061,Titulado,275,2024-08-04
5,2,1062,Cursando,41,
27,10,1063,Cursando,238,
11,3,1064,Titulado,330,2023-08-03
27,10,1065,Cursando,21,
31,11,1066,Baja,287,
22,8,1067,Créditos completos,290,2024-08-03
1,1,1068,Titulado,250,2021-08-03
26,10,1069,Titulado,290,2023-08-03
8,3,1070,Cursando,208,
22,8,1071,Cursando,119,
20,7,1072,Créditos completos,290,2023-08-03
12,4,1073,Créditos completos,330,2025-08-03
9,3,1074,Créditos completos,330,2020-08-03
22,8,1075,Titulado,290,2016-08-06
25,10,1076,Baja,153,
25,10,1077,Créditos completos,290,2014-08-06
3,1,1078,Cursando,80,
25,10,1079,Titulado,290,2016-08-07
30,11,1080,Titulado,319,2021-08-05
19,6,1081,Créditos completos,275,2018-08-07
10,3,1082,Créditos completos,330,2024-09-21
32,14,1083,Titulado,319,2026-08-03
5,2,1084,Titulado,250,2019-08-05
5,2,1085,Titulado,250,2019-08-05
26,10,1086,Titulado,290,2016-08-04
33,12,1087,Titulado,319,2016-08-04
18,6,1088,Cursando,72,
27,10,1089,Créditos completos,290,2023-08-03
10,3,1090,Titulado,330,2016-08-07
12,4,1091,Cursando,254,
28,10,1092,Cursando,94,
2,1,1093,Créditos completos,250,2018-08-08
29,10,1094,Cursando,214,
4,2,1095,Cursando,21,
21,8,1096,Cursando,276,
28,10,1097,Cursando,316,
35,13,1098,Créditos completos,200,2015-08-04
17,6,1099,Créditos completos,275,2017-08-07
24,10,1100,Cursando,71,
27,10,1101,Créditos completos,290,2019-08-08
23,9,1102,Titulado,290,2018-08-03
24,10,1103,Créditos completos,290,2024-09-21
28,10,1104,Cursando,160,
27,10,1105,Titulado,290,2021-08-03
27,10,1106,Baja,72,
16,6,1107,Cursando,212,
25,10,1108,Cursando,205,
26,10,1109,Créditos completos,290,2025-08-03
33,12,1110,Créditos completos,319,2021-08-05
27,10,1111,Titulado,290,2021-08-03
33,12,1112,Cursando,319,
9,3,1113,Titulado,330,2017-08-07
32,14,1114,Créditos completos,319,2018-08-04
32,14,1115,Titulado,319,2027-09-21
16,6,1116,Cursando,70,
3,1,1117,Créditos completos,250,2016-08-04
16,6,1118,Cursando,154,
34,12,1119,Créditos completos,200,2023-08-03
33,12,1120,Cursando,25,
18,6,1121,Titulado,275,2022-08-03
4,2,1122,Cursando,245,
5,2,1123,Créditos completos,250,2017-08-04
9,3,1124,Créditos completos,330,2015-08-04
22,8,1125,Cursando,110,
13,4,1126,Titulado,275,2024-09-21
20,7,1127,Cursando,108,
8,3,1128,Cursando,79,
1,1,1129,Cursando,153,
27,10,1130,Créditos completos,290,2025-09-21
23,9,1131,Cursando,115,
23,9,1132,Titulado,290,2023-08-03
30,11,1133,Cursando,174,
22,8,1134,Cursando,127,
30,11,1135,Cursando,260,
15,5,1136,Cursando,210,
4,2,1137,Titulado,250,2024-09-21
23,9,1138,Cursando,263,
9,3,1139,Cursando,138,
26,10,1140,Cursando,271,
17,6,1141,Cursando,72,
12,4,1142,Cursando,129,
13,4,1143,Titulado,275,2021-08-04
7,3,1144,Cursando,225,
20,7,1145,Titulado,290,2019-08-03
19,6,1146,Titulado,275,2023-08-03
34,12,1147,Titulado,200,2023-08-04
5,2,1148,Cursando,228,
23,9,1149,Cursando,154,
15,5,1150,Créditos completos,275,2016-08-07
3,1,1151,Cursando,2,
29,10,1152,Cursando,122,
21,8,1153,Cursando,215,
30,11,1154,Cursando,79,
34,12,1155,Cursando,126,
17,6,1156,Créditos completos,275,2018-08-08
19,6,1157,Créditos completos,275,2014-08-06
24,10,1158,Baja,53,
13,4,1159,Cursando,146,
35,13,1160,Titulado,200,2019-08-05
19,6,1161,Créditos completos,275,2024-09-21
13,4,1162,Titulado,275,2020-08-03
17,6,1163,Créditos completos,275,2024-09-21
23,9,1164,Cursando,76,
3,1,1165,Cursando,1,
33,12,1166,Cursando,7,
4,2,1167,Créditos completos,250,2016-08-07
6,3,1168,Créditos completos,250,2014-08-06
16,6,1169,Créditos completos,275,2019-08-07
5,2,1170,Titulado,250,2020-08-05
1,1,1171,Cursando,47,
5,2,1172,Titulado,250,2015-08-04
29,10,1173,Cursando,146,
12,4,1174,Créditos completos,330,2017-08-03
22,8,1175,Créditos completos,290,2023-08-03
7,3,1176,Créditos completos,330,2018-08-08
3,1,1177,Cursando,76,
19,6,1178,Baja,149,
2,1,1179,Cursando,135,
22,8,1180,Cursando,166,
12,4,1181,Titulado,330,2019-08-05
25,10,1182,Cursando,194,
28,10,1183,Créditos completos,319,2017-08-07
29,10,1184,Cursando,66,
2,1,1185,Cursando,193,
6,3,1186,Cursando,177,
8,3,1187,Créditos completos,330,2020-08-03
24,10,1188,Titulado,290,2022-08-03
11,3,1189,Cursando,111,
23,9,1190,Titulado,290,2016-08-07
11,3,1191,Titulado,330,2016-08-06
14,5,1192,Titulado,275,2023-08-04
1,1,1193,Titulado,250,2018-08-03
10,3,1194,Titulado,330,2017-08-03
34,12,1195,Titulado,200,2023-08-03
14,5,1196,Titulado,275,2020-08-05
10,3,1197,Créditos completos,330,2016-08-07
8,3,1198,Créditos completos,330,2024-08-03
21,8,1199,Titulado,290,2014-08-06
6,3,1200,Cursando,167,
13,4,1201,Cursando,38,
26,10,1202,Titulado,290,2018-08-04
8,3,1203,Créditos completos,330,2026-09-21
3,1,1204,Titulado,250,2019-08-05
29,10,1205,Créditos completos,319,2026-08-03
2,1,1206,Cursando,173,
6,3,1207,Cursando,68,
12,4,1208,Cursando,252,
24,10,1209,Cursando,42,
2,1,1210,Cursando,34,
13,4,1211,Titulado,275,2022-08-03
32,14,1212,Titulado,319,2016-08-04
15,5,1213,Créditos completos,275,2016-08-04
23,9,1214,Cursando,216,
32,14,1215,Cursando,108,
21,8,1216,Cursando,288,
16,6,1217,Cursando,28,
20,7,1218,Cursando,54,
6,3,1219,Créditos completos,250,2024-09-21
3,1,1220,Cursando,34,
4,2,1221,Titulado,250,2020-08-03
30,11,1222,Cursando,236,
29,10,1223,Cursando,240,
12,4,1224,Créditos completos,330,2019-08-03
32,14,1225,Créditos completos,319,2020-08-05
12,4,1226,Baja,124,
29,10,1227,Créditos completos,319,2025-09-21
32,14,1228,Créditos completos,319,2022-08-04
32,14,1229,Cursando,187,
1,1,1230,Cursando,225,
4,2,1231,Titulado,250,2018-08-08
1,1,1232,Créditos completos,250,2016-08-07
34,12,1233,Cursando,12,
31,11,1234,Titulado,319,2020-08-03
12,4,1235,Cursando,273,
24,10,1236,Cursando,54,
35,13,1237,Cursando,104,
30,11,1238,Titulado,319,2019-08-03
18,6,1239,Créditos completos,275,2020-08-08
27,10,1240,Baja,101,
22,8,1241,Cursando,104,
4,2,1242,Créditos completos,250,2014-08-06
23,9,1243,Créditos completos,290,2017-08-03
19,6,1244,Titulado,275,2017-08-03
30,11,1245,Baja,316,
10,3,1246,Titulado,330,2015-08-04
23,9,1247,Titulado,290,2025-08-03
5,2,1248,Créditos completos,250,2017-08-07
23,9,1249,Titulado,290,2016-08-07
4,2,1250,Cursando,58,
14,5,1251,Titulado,275,2020-08-08
17,6,1252,Cursando,91,
11,3,1253,Créditos completos,330,2014-08-06
1,1,1254,Cursando,158,
12,4,1255,Créditos completos,330,2016-08-07
7,3,1256,Baja,164,
16,6,1257,Titulado,275,2020-08-08
6,3,1258,Cursando,206,
11,3,1259,Cursando,15,
17,6,1260,Cursando,120,
7,3,1261,Cursando,91,
16,6,1262,Créditos completos,275,2025-08-03
32,14,1263,Baja,31,
9,3,1264,Cursando,55,
5,2,1265,Créditos completos,250,2016-08-07
22,8,1266,Créditos completos,290,2020-08-05
1,1,1267,Créditos completos,250,2023-08-03
34,12,1268,Cursando,174,
11,3,1269,Titulado,330,2022-08-04
2,1,1270,Créditos completos,250,2017-08-03
11,3,1271,Cursando,108,
7,3,1272,Titulado,330,2023-08-03
30,11,1273,Créditos completos,319,2027-09-21
19,6,1274,Créditos completos,275,2019-08-03
16,6,1275,Titulado,275,2017-08-04
15,5,1276,Cursando,223,
18,6,1277,Titulado,275,2022-08-04
23,9,1278,Créditos completos,290,2024-08-04
1,1,1279,Titulado,250,2018-08-08
24,10,1280,Baja,100,
32,14,1281,Baja,122,
28,10,1282,Cursando,151,
2,1,1283,Cursando,175,
23,9,1284,Titulado,290,2020-08-05
28,10,1285,Cursando,81,
29,10,1286,Cursando,2,
10,3,1287,Cursando,311,
12,4,1288,Créditos completos,330,2016-08-07
3,1,1289,Titulado,250,2022-08-03
4,2,1290,Titulado,250,2024-08-03
3,1,1291,Cursando,195,
14,5,1292,Titulado,275,2021-08-03
1,1,1293,Créditos completos,250,2014-08-06
23,9,1294,Titulado,290,2022-08-03
22,8,1295,Créditos completos,290,2025-09-21
2,1,1296,Titulado,250,2017-08-03
9,3,1297,Titulado,330,2020-08-08
6,3,1298,Cursando,2,
14,5,1299,Cursando,212,
7,3,1300,Créditos completos,330,2024-09-21
21,8,1301,Cursando,176,
19,6,1302,Créditos completos,275,2021-08-04
27,10,1303,Titulado,290,2023-08-03
3,1,1304,Cursando,10,
13,4,1305,Cursando,172,
9,3,1306,Titulado,330,2017-08-03
12,4,1307,Cursando,218,
7,3,1308,Cursando,103,
9,3,1309,Cursando,54,
3,1,1310,Cursando,236,
22,8,1311,Cursando,127,
5,2,1312,Créditos completos,250,2023-08-03
13,4,1313,Titulado,275,2017-08-03
15,5,1314,Titulado,275,2023-08-03
19,6,1315,Titulado,275,2024-08-03
13,4,1316,Titulado,275,2020-08-08
21,8,1317,Titulado,290,2022-08-03
32,14,1318,Cursando,14,
1,1,1319,Cursando,109,
7,3,1320,Titulado,330,2018-08-08
13,4,1321,Titulado,275,2018-08-08
24,10,1322,Baja,0,
30,11,1323,Titulado,319,2027-09-21
9,3,1324,Créditos completos,330,2017-08-03
24,10,1325,Créditos completos,290,2024-09-21
15,5,1326,Créditos completos,275,2021-08-04
9,3,1327,Créditos completos,330,2022-08-03
28,10,1328,Titulado,319,2016-08-04
34,12,1329,Cursando,21,
28,10,1330,Créditos completos,319,2021-08-03
33,12,1331,Cursando,58,
35,13,1332,Créditos completos,200,2016-08-04
13,4,1333,Cursando,50,
21,8,1334,Titulado,290,2014-08-06
33,12,1335,Créditos completos,319,2024-08-03
28,10,1336,Créditos completos,319,2020-08-05
6,3,1337,Baja,32,
33,12,1338,Créditos completos,319,2015-08-06
11,3,1339,Cursando,87,
24,10,1340,Cursando,224,
2,1,1341,Créditos completos,250,2014-08-06
19,6,1342,Titulado,275,2024-08-03
30,11,1343,Baja,104,
18,6,1344,Cursando,220,
19,6,1345,Baja,233,
6,3,1346,Créditos completos,250,2018-08-08
13,4,1347,Titulado,275,2024-09-21
30,11,1348,Titulado,319,2021-08-03
24,10,1349,Titulado,290,2019-08-05
13,4,1350,Cursando,69,
10,3,1351,Cursando,262,
17,6,1352,Titulado,275,2018-08-08
27,10,1353,Cursando,36,
24,10,1354,Cursando,67,
19,6,1355,Créditos completos,275,2016-08-06
21,8,1356,Créditos completos,290,2020-08-08
3,1,1357,Cursando,101,
15,5,1358,Créditos completos,275,2022-08-03
1,1,1359,Cursando,47,
26,10,1360,Baja,215,
11,3,1361,Créditos completos,330,2018-08-03
14,5,1362,Cursando,178,
16,6,1363,Titulado,275,2014-08-06
21,8,1364,Cursando,79,
13,4,1365,Titulado,275,2017-08-04
12,4,1366,Créditos completos,330,2019-08-05
30,11,1367,Baja,87,
5,2,1368,Titulado,250,2020-08-08
6,3,1369,Créditos completos,250,2023-08-03
10,3,1370,Cursando,127,
1,1,1371,Cursando,146,
30,11,1372,Titulado,319,2019-08-08
28,10,1373,Titulado,319,2025-09-21
33,12,1374,Cursando,63,
22,8,1375,Créditos completos,290,2019-08-07
29,10,1376,Cursando,51,
35,13,1377,Titulado,200,2017-08-03
30,11,1378,Créditos completos,319,2018-08-03
6,3,1379,Cursando,208,
15,5,1380,Titulado,275,2017-08-03
10,3,1381,Créditos completos,330,2020-08-03
30,11,1382,Cursando,234,
12,4,1383,Cursando,326,
34,12,1384,Cursando,80,
3,1,1385,Cursando,243,
28,10,1386,Cursando,187,
9,3,1387,Titulado,330,2022-08-03
16,6,1388,Créditos completos,275,2022-08-04
26,10,1389,Cursando,81,
11,3,1390,Titulado,330,2015-08-04
35,13,1391,Cursando,121,
33,12,1392,Titulado,319,2020-08-05
6,3,1393,Cursando,54,
1,1,1394,Titulado,250,2024-08-03
15,5,1395,Titulado,275,2023-08-03
10,3,1396,Titulado,330,2019-08-05
10,3,1397,Créditos completos,330,2023-08-03
14,5,1398,Cursando,256,
6,3,1399,Titulado,250,2015-08-06
32,14,1400,Cursando,24,
35,13,1401,Créditos completos,200,2018-08-08
16,6,1402,Créditos completos,275,2020-08-03
3,1,1403,Cursando,46,
31,11,1404,Titulado,319,2015-08-06
28,10,1405,Créditos completos,319,2020-08-03
7,3,1406,Cursando,59,
31,11,1407,Cursando,85,
4,2,1408,Titulado,250,2016-08-07
9,3,1409,Titulado,330,2027-09-21
28,10,1410,Titulado,319,2025-08-03
14,5,1411,Titulado,275,2025-09-21
34,12,1412,Cursando,53,
19,6,1413,Créditos completos,275,2016-08-07
15,5,1414,Cursando,36,
10,3,1415,Créditos completos,330,2022-08-03
10,3,1416,Créditos completos,330,2016-08-07
15,5,1417,Cursando,112,
34,12,1418,Créditos completos,200,2016-08-04
33,12,1419,Cursando,155,
28,10,1420,Titulado,319,2023-08-03
25,10,1421,Créditos completos,290,2024-08-03
8,3,1422,Créditos completos,330,2022-08-03
16,6,1423,Titulado,275,2017-08-03
5,2,1424,Créditos completos,250,2019-08-07
8,3,1425,Créditos completos,330,2018-08-08
9,3,1426,Baja,234,
1,1,1427,Cursando,7,
6,3,1428,Titulado,250,2023-08-03
24,10,1429,Créditos completos,290,2015-08-06
29,10,1430,Cursando,113,
15,5,1431,Titulado,275,2019-08-05
23,9,1432,Cursando,268,
33,12,1433,Cursando,310,
15,5,1434,Titulado,275,2019-08-05
17,6,1435,Cursando,98,
31,11,1436,Cursando,17,
34,12,1437,Titulado,200,2021-08-05
21,8,1438,Cursando,131,
28,10,1439,Cursando,280,
8,3,1440,Créditos completos,330,2021-08-04
11,3,1441,Créditos completos,330,2021-08-04
19,6,1442,Créditos completos,275,2016-08-07
6,3,1443,Titulado,250,2022-08-03
24,10,1444,Créditos completos,290,2021-08-04
1,1,1445,Cursando,40,
26,10,1446,Titulado,290,2022-08-08
16,6,1447,Cursando,262,
7,3,1448,Cursando,39,
15,5,1449,Titulado,275,2015-08-06
16,6,1450,Cursando,187,
28,10,1451,Cursando,164,
5,2,1452,Créditos completos,250,2025-08-03
14,5,1453,Cursando,192,
30,11,1454,Créditos completos,319,2026-09-21
18,6,1455,Cursando,15,
29,10,1456,Cursando,292,
30,11,1457,Cursando,73,
20,7,1458,Cursando,214,
25,10,1459,Titulado,290,2021-08-04
23,9,1460,Créditos completos,290,2017-08-07
24,10,1461,Créditos completos,290,2019-08-08
9,3,1462,Cursando,235,
33,12,1463,Créditos completos,319,2019-08-07
34,12,1464,Titulado,200,2023-08-03
29,10,1465,Titulado,319,2018-08-04
21,8,1466,Titulado,290,2025-08-03
11,3,1467,Cursando,26,
20,7,1468,Cursando,283,
1,1,1469,Créditos completos,250,2017-08-03
1,1,1470,Titulado,250,2023-08-03
7,3,1471,Créditos completos,330,2023-08-03
24,10,1472,Cursando,229,
6,3,1473,Cursando,177,
24,10,1474,Cursando,254,
8,3,1475,Cursando,231,
11,3,1476,Créditos completos,330,2017-08-03
19,6,1477,Titulado,275,2020-08-03
4,2,1478,Cursando,180,
30,11,1479,Titulado,319,2015-08-06
29,10,1480,Cursando,222,
2,1,1481,Titulado,250,2024-08-03
5,2,1482,Cursando,73,
29,10,1483,Cursando,314,
31,11,1484,Titulado,319,2017-08-07
13,4,1485,Créditos completos,275,2024-09-21
2,1,1486,Créditos completos,250,2015-08-04
29,10,1487,Titulado,319,2025-09-21
4,2,1488,Créditos completos,250,2024-09-21
33,12,1489,Créditos completos,319,2020-08-05
17,6,1490,Titulado,275,2023-08-03
3,1,1491,Cursando,45,
2,1,1492,Créditos completos,250,2020-08-03
1,1,1493,Titulado,250,2020-08-08
22,8,1494,Titulado,290,2024-09-21
16,6,1495,Titulado,275,2021-08-03
24,10,1496,Titulado,290,2024-09-21
15,5,1497,Cursando,261,
33,12,1498,Titulado,319,2027-08-03
7,3,1499,Créditos completos,330,2024-09-21
25,10,1500,Titulado,290,2022-08-03
12,4,1501,Cursando,244,
20,7,1502,Titulado,290,2024-08-03
28,10,1503,Baja,177,
19,6,1504,Créditos completos,275,2020-08-05
27,10,1505,Titulado,290,2020-08-08
11,3,1506,Cursando,55,
17,6,1507,Titulado,275,2018-08-08
2,1,1508,Créditos completos,250,2020-08-03
9,3,1509,Créditos completos,330,2023-08-03
13,4,1510,Créditos completos,275,2018-08-07
33,12,1511,Créditos completos,319,2022-08-05
24,10,1512,Créditos completos,290,2023-08-03
17,6,1513,Créditos completos,275,2023-08-03
21,8,1514,Baja,24,
6,3,1515,Créditos completos,250,2015-08-04
24,10,1516,Cursando,13,
12,4,1517,Titulado,330,2019-08-07
19,6,1518,Créditos completos,275,2023-08-03
15,5,1519,Créditos completos,275,2022-08-03
11,3,1520,Baja,271,
33,12,1521,Titulado,319,2020-08-08
28,10,1522,Titulado,319,2022-08-04
24,10,1523,Cursando,2,
9,3,1524,Créditos completos,330,2015-08-04
4,2,1525,Créditos completos,250,2024-08-04
12,4,1526,Baja,31,
17,6,1527,Cursando,208,
13,4,1528,Cursando,1,
13,4,1529,Titulado,275,2022-08-04
25,10,1530,Créditos completos,290,2025-09-21
22,8,1531,Cursando,83,
4,2,1532,Titulado,250,2018-08-08
